STATION_NAME;NAT_ABBR;LATITUDE;LONGITUDE;XCOORD;YCOORD;ELEVATION
Aadorf / Tänikon;TAE;47.48;8.9049;710515;259821;539
Aarberg;ABE;47.037;7.2814;588051;209518;493
Adelboden;ABO;46.492;7.5604;609350;149001;1326.74
Affeltrangen;AFT;47.531;9.0199;719070;265660;479
Affoltern i. E.;AIE;47.063;7.7406;622940;212500;755
Aigle;AIG;46.327;6.9244;560401;130713;381.02
Airolo;AIR;46.526;8.5974;688910;153400;1139
Allenwinden, TG;ALW;47.387;8.9458;713800;249550;865
Alpthal;APT;47.06;8.7136;696860;212930;1015
Altdorf;ALT;46.887;8.6218;690174;193558;438
Altmatt;ALM;47.131;8.6963;695420;220770;920
Altstätten, SG;ALS;47.383;9.5565;759910;250202;430
Alvaneu Dorf;ALV;46.677;9.6499;769168;171945;1170
Amriswil;AMW;47.55;9.3225;741796;268304;420
Andeer;AND;46.61;9.4319;752687;164036;987.1
Andelfingen;AFI;47.602;8.6861;693810;273070;382
Andermatt;ANT;46.631;8.5805;687444;165044;1438
Appenzell;APP;47.34;9.3973;748012;245040;750
Arbon;ARB;47.502;9.4364;750506;263115;401
Arisdorf;ARI;47.507;7.7746;625310;261860;480
Arosa;ARO;46.793;9.679;771030;184826;1878
Avenches;AVE;46.881;7.0368;569367;192283;446
Avers / Am Bach;AVB;46.453;9.5472;761985;146785;2000
Bad Ragaz;RAG;47.017;9.5026;756910;209351;496
Balsthal;BAT;47.32;7.7166;621017;241091;523
Barmelweid;BAW;47.422;7.9711;640180;252446;770
Basel / Binningen;BAS;47.541;7.5836;610911;265601;316.17
Baulmes;BAU;46.79;6.5225;530050;182450;642
Bauma;BAM;47.365;8.9056;710805;247005;667
Bauma;ZHBAM;47.374;8.8654;707750;248010;621
Bellelay;BEY;47.265;7.1691;579603;234880;923
Bellinzona;BLZ;46.19;9.0049;720913;116588;224
Belp;BEP;46.906;7.5053;605082;195001;510
Benken / Doggen;DOB;47.189;8.9612;715387;227540;408
Bergün / Latsch;LAT;46.627;9.7537;777273;166619;1407.85
Bern / Zollikofen;BER;46.991;7.464;601930;204410;552.84
Beromünster;BMU;47.207;8.1936;657200;228760;642
Bex;BEX;46.244;6.9953;565806;121511;402
Beznau;BZN;47.558;8.2355;659975;267750;327
Biasca;BIA;46.336;8.9784;718550;132800;278
Biel/Bienne;BIL;47.12;7.2576;586260;218840;433
Binn;BIN;46.368;8.1923;657996;135422;1479
Birmensdorf;ZHBID;47.355;8.4401;675660;245430;466
Bischofszell;BIZ;47.497;9.2347;735325;262285;470
Bisisthal;BIS;46.947;8.828;705770;200450;785
Bivio;BIV;46.463;9.6686;771282;148120;1856
Bière;BIE;46.525;6.3424;515889;153207;683.64
Blumenstein;BLU;46.744;7.5206;606260;177010;655
Boltigen;BOT;46.63;7.3874;596077;164296;892
Bosco/Gurin;BOS;46.317;8.4887;680879;130027;1486
Boudevilliers;BOV;47.023;6.8874;558095;208130;750
Bourg-St-Pierre;BSP;45.946;7.2085;582155;88270;1664
Braggio;BRA;46.296;9.1256;729975;128600;1315
Braunau;BNU;47.522;9.0734;723115;264787;592
Braunwald;BRW;46.937;8.9876;717942;199651;1299
Brienz;BRZ;46.741;8.0609;647552;176803;567.15
Brig;BRI;46.312;7.9653;640567;129069;665
Brissago;BSG;46.12;8.709;698200;108390;280
Bristen;BRT;46.768;8.6984;696223;180373;784
Broc;BRO;46.61;7.108;574670;162100;680
Brusio;BRP;46.264;10.1172;806477;127184;856
Bruzella;BZL;45.883;9.037;724090;82490;620
Brülisau;BLS;47.297;9.4583;752743;240475;933
Buch, SH;BUC;47.717;8.7839;700944;286039;414
Buchs / Aarau;BUS;47.384;8.0794;648389;248365;386.66
Buffalora;BUF;46.648;10.2672;816494;170225;1968
Bullet / La Frétaz;FRE;46.841;6.5763;534221;188081;1205.43
Burgdorf;BUD;47.057;7.5987;612163;211782;534
Bözberg;UBB;47.482;8.1318;652249;259223;536
Bülach;BUE;47.52;8.5275;682010;263780;402
Camedo;CMD;46.155;8.6075;690296;112207;590
Campocologno;CAC;46.232;10.1438;808650;123700;535
Cavaglia;CAV;46.368;10.0362;799850;138470;1706
Cevio;CEV;46.32;8.6032;689688;130565;417
Chanéaz;CNZ;46.729;6.7427;546800;175580;758
Chasseral;CHA;47.132;7.0544;570847;220158;1599
Chaumont;CHM;47.049;6.9788;565060;211006;1136
Chavornay;CHY;46.702;6.548;531887;172741;439
Chevrier;GECHE;46.22;6.2228;506185;119470;429.7
Chur;CHU;46.87;9.5305;759466;193153;556
Château-d'Oex;CHD;46.48;7.1397;577040;147655;1029
Chéserex;CHX;46.398;6.1722;502600;139350;532
Cimetta;CIM;46.2;8.7916;704433;117452;1661
Col des Mosses;CDM;46.392;7.0982;573818;137852;1412
Col du Grand St-Bernard;GSB;45.869;7.1708;579200;79720;2472
Coldrerio;COL;45.854;8.9974;721080;79235;347
Combe-Garot;COG;46.962;6.7977;551220;201450;532
Cossonay;COS;46.61;6.4931;527563;162465;590
Courtelary;COY;47.181;7.0907;573623;225597;695
Courtepin;COP;46.86;7.1276;576280;189930;565
Couvet;COU;46.934;6.6587;540607;198345;728
Davos;DAV;46.813;9.8435;783514;187458;1594.16
Degersheim;DEH;47.366;9.1942;732600;247600;830
Delémont;DEM;47.352;7.3496;593269;244543;439
Diessenhofen;DIE;47.692;8.7271;696730;283130;405
Dietikon;DIT;47.414;8.4045;672890;251865;384
Dischma;DMA;46.772;9.8821;786600;182990;1710
Disentis;DIS;46.707;8.8535;708189;173789;1197.05
Ebnat-Kappel;EBK;47.273;9.1085;726347;237176;623
Echallens;ECH;46.646;6.6217;537455;166430;603
Effretikon;EFF;47.439;8.7025;695336;254992;478
Eggersriet;EGR;47.44;9.4561;752170;256280;814
Egolzwil;EGO;47.179;8.0048;642913;225540;521
Ehrendingen;OED;47.508;8.3392;667846;262266;428
Eigenthal;EIT;46.983;8.2186;659340;203880;1114
Einsiedeln;EIN;47.133;8.7566;699984;221068;910
Elm;ELM;46.924;9.1753;732265;198425;958
Engelberg;ENG;46.822;8.4105;674157;186097;1035.66
Entlebuch;ENT;46.987;8.0687;647935;204165;768
Eptingen;EPT;47.386;7.819;628720;248410;565
Eriswil;ERI;47.082;7.8484;631120;214600;740
Erlenbach im Simmental;ERB;46.657;7.5477;608350;167300;683
Ermatingen;WOB;47.672;9.0882;723880;281420;400
Eschenz;ESZ;47.646;8.8742;707865;278227;414
Eschlikon;EKO;47.452;8.9729;715699;256836;578
Escholzmatt;EHM;46.906;7.939;638120;195100;910
Euthal;EUT;47.099;8.8182;704729;217363;910
Fahy;FAH;47.424;6.9411;562458;252676;596
Faido;FAI;46.477;8.8053;704950;148266;747
Filisur;FIL;46.671;9.6899;772250;171320;1030
Finhaut;CTA;46.083;6.9753;564160;103590;1242
Flawil;FLW;47.414;9.2017;733050;252940;570
Flims;FLI;46.834;9.2833;740720;188600;1050
Flühli, LU;FLU;46.889;8.0203;644332;193311;939.75
Frauenfeld;FRF;47.573;8.8937;709480;270170;393
Fribourg / Posieux;GRA;46.771;7.1137;575182;180076;646
Frick;FRI;47.514;8.0142;643355;262700;345
Fruence;FRC;46.525;6.9025;558860;152799;809
Frutigen;FRU;46.599;7.6575;616774;160884;756
Gadmen;GAD;46.737;8.3513;669750;176610;1190
Gempen, SO;GEP;47.494;7.6544;616260;260400;585
Genève / Aire;GEA;46.196;6.0905;495935;116925;376
Genève / Cointrin;GVE;46.248;6.1277;498905;122632;410.88
Giswil;GIH;46.849;8.1902;657320;188980;471
Glarus;GLA;47.035;9.0669;723752;210568;516.62
Gnosca;TIGNO;46.238;9.0196;721940;121960;247
Grimentz;GRI;46.18;7.5781;610768;114289;1512
Grimsel Hospiz;GRH;46.572;8.3333;668583;158215;1980
Grindelwald;GWA;46.63;8.0366;645793;164458;1158
Grono;GRO;46.255;9.1638;733017;124090;323.52
Gross, SZ;GSS;47.113;8.78;701799;218841;897
Grosshöchstetten;GHS;46.905;7.6488;616015;194885;755
Gryon;GRY;46.277;7.0692;571520;125125;1146
Grächen;GRC;46.195;7.8368;630739;116062;1605
Grüningen;GIN;47.274;8.7437;698752;236666;535
Gstaad;GST;46.467;7.2858;588260;146165;1045
Gsteig, Gstaad;GSG;46.376;7.2785;587680;136130;1196
Guglera;GUG;46.75;7.2429;585040;177635;877
Guttannen;GTT;46.656;8.2917;665296;167601;1055
Göschenen;GOS;46.693;8.5954;688477;171926;950.3
Göscheneralp;GOA;46.647;8.5;681250;166790;1745
Gösgen;GOE;47.363;7.9737;640417;245937;380
Gütsch, Andermatt;GUE;46.652;8.615;690050;167475;2283
Güttingen;GUT;47.602;9.2794;738420;273960;440.02
Hallau;HLL;47.697;8.4705;677456;283472;419
Hausen am Albis;HAU;47.24;8.5224;682060;232660;590
Herbetswil;HTW;47.297;7.5879;611292;238435;544
Herisau;HES;47.394;9.2631;737730;250830;700
Herzogenbuchsee;HEB;47.197;7.7022;619970;227350;467
Hessigkofen;HEK;47.142;7.4696;602350;221220;580
Hinterrhein;HIR;46.524;9.1838;733900;153980;1611
Hinwil;HIW;47.309;8.8114;703803;240755;539
Hoch-Ybrig;HOY;47.012;8.7901;702760;207630;1458
Hondrich;HON;46.673;7.6807;618525;169130;760
Huttwil;HUT;47.114;7.8374;630261;218189;633
Hérémence;HER;46.178;7.4044;597356;114092;1218
Ilanz;ILZ;46.775;9.2153;735685;181966;698
Illhart;ILH;47.621;9.0394;720330;275760;540
Innerferrera;INF;46.52;9.444;753870;154070;1475
Innerthal;INN;47.106;8.9145;712019;218326;903
Interlaken;INT;46.672;7.8701;633019;169093;577.34
Isenthal;IST;46.911;8.5604;685460;196110;778
Isone;TIISO;46.134;8.9938;720180;110320;810
Jaun;JAU;46.612;7.2757;587520;162280;1030
Jungfraujoch;JUN;46.547;7.9853;641930;155275;3580
Jussy;JUS;46.229;6.2579;508910;120364;466
Kaiserstuhl, AG;KAI;47.57;8.4128;673300;269310;361
Kalchrain;KAL;47.611;8.8891;709060;274350;580
Kandersteg;KAS;46.494;7.6772;618313;149198;1178
Kiental;KIE;46.583;7.7271;622110;159075;930
Kirchberg, SG;KIB;47.423;9.0252;719712;253684;695
Kleine Scheidegg;KSE;46.585;7.9595;639925;159425;2061
Klosters;KLA;46.865;9.8897;786857;193366;1186
Klöntal;KLT;47.037;9.0015;718775;210700;855
Koppigen;KOP;47.119;7.6055;612662;218664;484
Kronberg;KRO;47.291;9.3276;742873;239565;1645
Kurzeneialp;KUA;47.013;7.8407;630575;207010;894
Küsnacht, ZH;KUE;47.31;8.5853;686705;240573;412
Küssnacht am Rigi;KAR;47.098;8.4309;675328;216760;502
L' Auberson;AUB;46.823;6.4407;523852;186295;1096
L'Abergement;ABG;46.756;6.4902;527540;178770;645
La Brévine;BRL;46.984;6.6103;536982;203974;1050
La Chaux-de-Fonds;CDF;47.083;6.7923;550919;214861;1017.01
La Cure;CUE;46.46;6.0756;495298;146347;1185
La Dôle;DOL;46.425;6.0995;497061;142362;1669.75
La Valsainte;VST;46.648;7.1786;580090;166314;1044
Lachen / Eggen;EGL;47.434;9.5867;762030;255900;930
Lachen / Galgenen;LAC;47.179;8.8587;707637;226334;468
Landquart;LAN;46.965;9.5764;762680;203710;537
Langenbruck;LAB;47.353;7.7596;624250;244720;731
Langnau am Albis;LGA;47.286;8.5253;682205;237810;579
Langnau i.E.;LAG;46.94;7.8064;628005;198792;745
Laufenburg;LFB;47.548;8.0544;646357;266514;329
Laupen;LAP;46.917;7.241;584946;196242;483
Lausanne;LSN;46.528;6.6433;538976;153256;601
Lauterbrunnen;LTB;46.593;7.9065;635851;160291;815
Le Locle;LOC;47.054;6.7445;547260;211730;920
Le Moléson;MLS;46.546;7.0178;567723;155072;1974
Leibstadt;LEI;47.597;8.1883;656379;272111;341.08
Lenzerheide;LEH;46.715;9.5558;761860;175890;1400
Les Avants;AVA;46.457;6.9425;561880;145178;1036
Les Brenets;BNE;47.072;6.7102;544675;213685;907
Les Charbonnières;CHB;46.67;6.3124;513821;169387;1045
Les Diablerets;DIB;46.347;7.1663;579038;132867;1191
Les Marécottes;MAR;46.119;7.0166;567375;107577;990
Les Ponts-de-Martel;PDM;46.998;6.7272;545887;205407;1052
Leukerbad;LEU;46.367;7.6216;614083;135090;1286
Linthal / Tierfehd;TFD;46.879;8.9837;717770;193170;810
Locarno / Monti;OTL;46.173;8.7874;704160;114350;366.75
Lodrino;TILOD;46.298;8.9924;719710;128590;275
Lohn, SH;LOH;47.752;8.6776;692910;289775;585
Longirod;LON;46.496;6.2583;509387;150106;900
Lorzentobel;LOT;47.181;8.5546;684590;226110;536
Lugano;LUG;46.004;8.9603;717874;95884;273
Lungern;LUN;46.785;8.1625;655275;181800;740
Luthern;LUT;47.058;7.9186;636465;212020;767
Luzern;LUZ;47.036;8.301;665540;209848;454
Madiswil;MAD;47.16;7.7973;627198;223330;542
Magadino / Cadenazzo;MAG;46.16;8.9337;715480;113162;203.2
